;	B1	B2	B3
	82	102	115
	80	100	112
	79	99	109
	78	96	105
	76	93	102
	75	91	98
	74	89	95
	73	87	95
	72	86	95
	86	114	140
	86	116	140
	87	118	141
	88	119	143
	89	119	145
	89	120	146
	89	122	145
	89	122	144
	88	121	143
	87	119	142
	86	118	141
	85	116	140
	84	112	139
	84	111	138
	84	111	136
	84	111	134
	85	110	132
	86	111	132
	86	113	134
	86	112	135
	86	111	133
	86	110	129
	84	110	126
	83	107	123
	82	105	121
	81	104	118
	80	102	115
	78	99	111
	77	98	108
	76	94	103
	75	91	99
	74	89	94
	73	86	94
	72	85	94
	85	111	132
	86	112	134
	85	113	136
	85	114	137
	85	118	138
	86	121	139
	87	118	140
	87	119	140
	87	119	141
	88	118	140
	87	120	140
	86	120	139
	86	115	137
	84	116	136
	83	114	135
	82	109	135
	82	108	135
	82	108	134
	83	108	133
	84	107	132
	85	109	132
	86	110	133
	86	111	135
	86	111	133
	85	111	131
	83	111	130
	82	108	127
	81	105	125
	80	105	122
	79	101	118
	78	99	114
	77	97	110
	76	93	104
	75	90	99
	74	88	94
	73	84	94
	72	83	93
	83	104	121
	84	109	125
	84	111	129
	84	111	132
	83	110	134
	83	110	135
	83	113	137
	83	116	137
	83	114	137
	83	114	136
	84	113	136
	84	112	135
	83	113	135
	83	112	134
	83	109	133
	82	109	131
	81	107	131
	80	103	131
	81	105	132
	82	106	132
	82	107	131
	83	107	131
	84	108	132
	85	109	133
	84	110	135
	84	110	134
	83	110	134
	82	110	134
	82	107	132
	81	105	129
	80	105	127
	79	100	122
	78	98	117
	78	96	112
	77	92	106
	76	89	100
	74	87	95
	73	82	94
	72	82	93
	72	82	94
	81	102	119
	82	106	123
	82	109	126
	82	108	129
	82	106	131
	81	105	133
	81	109	133
	80	110	134
	80	109	133
	80	108	132
	80	108	131
	80	107	132
	80	108	132
	81	107	132
	81	105	130
	80	104	130
	79	103	130
	79	103	130
	80	105	131
	81	107	132
	82	107	132
	83	108	132
	83	108	132
	84	109	133
	83	110	135
	82	110	135
	82	111	135
	81	113	135
	81	110	134
	81	109	132
	80	109	130
	79	104	126
	79	100	121
	79	97	117
	78	94	110
	77	91	104
	75	88	98
	73	83	98
	73	82	97
	73	83	97
	80	103	122
	80	104	124
	80	103	126
	80	102	127
	80	103	127
	79	105	127
	77	106	127
	76	103	127
	77	103	126
	77	103	127
	77	103	129
	78	104	130
	78	104	130
	79	103	130
	78	102	129
	78	102	130
	78	103	131
	79	105	132
	81	107	132
	82	108	132
	82	108	132
	82	108	133
	82	108	134
	82	109	136
	81	108	136
	81	109	137
	81	113	137
	81	111	136
	81	110	135
	80	110	134
	80	106	130
	80	103	126
	79	99	121
	79	96	114
	78	92	108
	76	89	102
	75	84	101
	74	84	100
	74	87	100
	78	101	121
	78	103	122
	78	101	124
	78	100	124
	79	99	123
	78	101	122
	77	100	122
	76	97	122
	76	99	121
	77	100	123
	77	101	125
	77	102	129
	77	102	129
	77	102	129
	77	102	129
	77	102	130
	77	103	132
	78	105	133
	79	107	133
	80	108	132
	80	107	132
	80	107	134
	80	107	135
	80	107	137
	80	105	137
	80	107	138
	81	110	138
	82	110	138
	82	110	138
	82	110	137
	82	108	133
	81	106	130
	80	103	124
	80	98	118
	79	95	111
	77	91	107
	76	87	105
	76	89	104
	76	92	105
	76	99	120
	75	101	121
	76	100	122
	77	98	122
	78	97	121
	77	99	121
	76	99	121
	76	97	121
	76	98	122
	77	99	123
	77	100	125
	77	101	127
	76	102	127
	76	101	127
	76	101	128
	76	102	129
	76	102	131
	77	104	132
	78	104	132
	79	104	132
	78	104	132
	78	104	132
	78	104	133
	79	106	134
	80	106	135
	80	108	136
	81	111	138
	82	111	138
	83	112	138
	83	113	138
	83	111	134
	83	111	131
	81	109	126
	80	101	120
	80	98	114
	79	96	111
	78	93	110
	78	95	110
	78	97	111
	73	98	120
	74	98	121
	76	97	122
	77	97	123
	77	99	123
	76	99	124
	76	99	124
	76	99	124
	77	99	124
	77	100	125
	76	101	126
	75	101	126
	75	101	126
	75	101	127
	75	101	129
	76	102	130
	77	102	132
	77	103	131
	77	102	131
	77	102	131
	77	100	131
	77	102	132
	78	104	133
	79	105	134
	80	107	135
	81	109	137
	82	110	138
	83	111	139
	83	113	139
	83	113	136
	82	111	132
	81	107	127
	80	100	122
	79	98	118
	78	96	115
	77	95	115
	78	96	116
	78	98	117
	78	100	119
	75	97	118
	76	98	121
	76	98	123
	77	97	124
	76	99	126
	76	100	126
	76	101	126
	76	100	126
	77	99	125
	76	99	125
	75	100	124
	74	100	125
	74	100	125
	74	100	126
	75	100	128
	76	100	130
	76	101	131
	76	101	130
	76	101	130
	76	100	130
	76	98	130
	77	100	131
	78	103	131
	79	104	133
	81	105	134
	82	108	136
	83	109	138
	83	111	139
	83	113	139
	83	113	136
	82	111	133
	80	107	129
	79	101	124
	78	100	119
	77	98	117
	76	96	117
	77	96	117
	78	98	118
	79	101	120
	78	99	117
	78	101	120
	77	100	122
	76	99	123
	76	101	125
	76	101	125
	76	101	124
	76	101	124
	76	100	124
	76	100	124
	75	100	124
	73	100	124
	73	99	124
	74	100	124
	75	99	125
	75	100	126
	75	100	127
	76	100	128
	76	100	129
	75	101	129
	75	100	130
	76	102	130
	78	104	132
	80	103	133
	81	105	135
	82	107	136
	83	109	137
	83	112	138
	83	113	138
	83	112	135
	82	111	133
	80	109	130
	78	105	124
	77	102	120
	76	99	117
	75	96	116
	77	96	115
	78	98	117
	79	101	120
	79	102	119
	77	101	120
	76	99	121
	76	101	122
	76	100	122
	76	99	122
	76	101	122
	76	100	122
	75	99	122
	74	99	123
	73	98	122
	73	98	122
	73	98	122
	74	98	122
	74	98	123
	75	98	124
	76	98	126
	76	98	127
	76	100	129
	76	99	130
	76	100	131
	77	101	132
	79	101	133
	80	103	135
	82	106	136
	83	108	136
	83	110	137
	83	112	137
	82	113	135
	80	111	134
	78	109	130
	76	107	125
	75	102	120
	74	98	117
	74	95	116
	76	96	115
	77	99	117
	77	101	121
	78	99	118
	77	97	119
	76	96	119
	75	98	120
	75	97	120
	75	97	120
	75	99	121
	75	98	121
	74	97	121
	73	97	122
	73	96	121
	72	95	120
	72	96	120
	72	96	121
	73	96	121
	75	97	123
	77	96	124
	77	98	126
	77	99	128
	76	99	129
	76	100	131
	77	101	132
	78	100	133
	79	104	134
	81	107	135
	83	108	135
	83	110	135
	82	111	134
	82	112	133
	79	112	131
	76	109	127
	74	104	122
	73	99	118
	73	96	115
	73	93	114
	74	95	113
	75	96	116
	76	98	120
	74	99	124
	78	99	118
	77	97	119
	75	97	119
	75	99	119
	74	98	120
	74	98	120
	74	99	120
	74	98	121
	73	97	121
	73	97	121
	73	95	120
	72	95	120
	71	94	120
	70	95	121
	72	96	121
	75	97	123
	78	97	124
	78	100	126
	77	101	128
	76	100	129
	76	101	130
	76	102	131
	77	103	132
	79	106	133
	81	108	133
	83	107	133
	82	110	133
	82	110	132
	81	110	130
	78	110	128
	75	105	124
	73	99	119
	72	96	115
	72	92	113
	73	90	112
	73	92	111
	74	92	114
	74	94	118
	74	97	123
	76	97	119
	75	97	119
	74	98	119
	74	96	119
	74	95	120
	73	97	120
	74	95	120
	73	95	121
	73	95	121
	72	94	121
	72	94	121
	71	94	121
	71	94	121
	72	95	122
	75	97	123
	77	97	124
	77	99	126
	77	100	127
	77	99	128
	77	101	130
	77	102	131
	77	103	131
	79	105	131
	80	106	131
	82	105	131
	81	107	131
	81	107	129
	80	106	126
	78	104	125
	76	99	121
	74	93	117
	73	91	112
	72	87	110
	72	84	110
	73	87	109
	73	87	113
	74	90	118
	73	95	123
	75	97	119
	74	96	119
	74	95	119
	73	93	120
	73	93	120
	74	95	120
	74	93	120
	74	93	120
	73	94	120
	72	94	120
	72	94	120
	72	95	120
	73	94	120
	73	95	121
	74	97	122
	75	97	122
	76	99	123
	77	100	125
	78	99	126
	78	102	127
	77	104	128
	78	103	128
	79	105	128
	80	105	128
	81	105	129
	80	106	129
	80	106	129
	79	105	127
	78	103	126
	77	99	122
	76	95	118
	74	92	114
	72	88	112
	71	85	111
	72	85	110
	72	88	114
	73	93	119
	73	99	124
	74	96	119
	73	96	120
	73	95	120
	73	94	121
	74	94	121
	74	96	121
	75	95	120
	75	95	120
	73	95	120
	72	94	119
	72	95	118
	73	96	118
	74	94	118
	74	95	118
	74	96	118
	73	96	118
	75	100	120
	76	101	121
	78	100	123
	77	103	124
	77	104	125
	77	102	125
	78	104	125
	79	104	126
	79	104	127
	79	105	128
	79	105	128
	78	104	127
	78	103	127
	77	100	124
	76	97	120
	74	93	116
	72	89	114
	71	86	112
	71	86	111
	72	90	116
	73	94	121
	73	99	125
	73	97	119
	75	97	121
	75	95	122
	75	93	122
	75	94	122
	75	96	121
	76	96	121
	75	95	120
	73	94	118
	72	93	117
	72	93	116
	72	92	115
	73	90	115
	73	92	114
	73	93	114
	73	92	115
	73	96	116
	74	97	117
	74	97	120
	74	98	122
	74	99	123
	74	99	123
	75	100	123
	76	101	123
	77	101	125
	78	103	127
	78	104	128
	78	104	129
	78	103	129
	77	101	126
	76	98	122
	74	94	117
	72	89	115
	71	87	114
	72	88	112
	73	91	116
	73	95	121
	73	99	124
	73	97	118
	78	98	121
	77	97	124
	76	94	123
	76	96	123
	76	98	122
	77	97	120
	75	96	118
	73	94	117
	72	92	116
	71	92	115
	71	90	114
	72	89	113
	72	91	113
	72	92	114
	72	91	114
	72	94	115
	72	95	115
	71	94	117
	71	94	118
	72	94	119
	72	96	120
	73	98	122
	74	99	122
	75	100	123
	76	103	125
	77	103	125
	78	104	126
	77	105	127
	77	102	124
	76	99	122
	74	97	120
	72	92	116
	72	90	113
	72	91	110
	73	93	114
	73	98	118
	73	103	120
	73	98	114
	80	99	124
	78	98	123
	77	100	122
	77	101	121
	77	97	119
	76	96	116
	73	94	114
	71	92	114
	71	91	114
	71	90	113
	71	90	113
	71	92	114
	72	92	114
	72	93	114
	71	94	114
	70	92	114
	69	90	114
	70	90	114
	70	91	116
	71	93	118
	72	96	121
	73	97	122
	75	99	122
	76	101	122
	78	101	123
	78	101	124
	78	104	125
	78	101	124
	77	99	123
	75	97	122
	72	91	117
	72	89	112
	72	90	109
	73	91	112
	74	95	115
	73	99	116
	73	96	111
	81	102	125
	79	101	124
	79	101	123
	78	99	121
	78	95	118
	76	94	115
	73	93	113
	71	90	113
	71	90	113
	71	91	113
	72	92	114
	72	93	115
	72	93	115
	72	93	114
	71	92	113
	70	89	112
	69	86	111
	70	89	110
	71	90	112
	72	91	117
	73	95	121
	75	96	121
	76	97	121
	77	99	120
	78	98	122
	79	99	123
	80	101	124
	81	101	124
	79	100	124
	76	98	124
	73	92	118
	72	90	112
	73	90	108
	74	90	110
	73	93	112
	73	96	112
	73	94	108
	82	105	124
	81	104	123
	80	103	122
	79	100	120
	79	95	117
	76	95	115
	73	93	113
	70	91	113
	71	92	113
	72	92	114
	73	93	115
	73	95	115
	72	94	115
	72	93	114
	71	93	113
	69	90	112
	69	89	111
	70	92	110
	72	92	112
	73	94	116
	75	97	119
	76	97	120
	78	98	121
	78	100	122
	79	100	123
	80	101	124
	81	103	125
	83	104	125
	81	104	126
	77	103	125
	73	97	119
	72	94	112
	73	92	108
	74	92	109
	82	105	120
	81	105	120
	80	102	119
	79	98	118
	76	96	116
	73	94	115
	70	92	115
	71	93	115
	72	93	115
	73	93	115
	73	94	115
	72	93	115
	72	91	114
	71	92	112
	70	90	112
	70	89	111
	71	92	110
	72	93	112
	74	94	115
	75	97	117
	77	98	119
	78	100	121
	79	101	124
	79	101	125
	81	103	127
	82	105	128
	83	109	128
	81	108	129
	77	105	127
	73	99	120
	80	104	118
	79	104	119
	78	102	119
	77	98	118
	75	97	117
	72	95	116
	70	92	116
	71	93	115
	71	92	115
	72	91	115
	72	91	115
	72	89	114
	72	88	113
	72	89	112
	71	88	112
	71	87	111
	72	90	111
	73	92	112
	74	94	114
	75	96	116
	77	98	119
	78	100	122
	79	102	125
	80	102	126
	81	105	127
	82	108	129
	83	111	127
	79	103	116
	78	105	118
	77	103	118
	76	99	118
	74	98	118
	72	96	118
	71	95	117
	70	96	116
	70	94	115
	70	91	114
	71	90	113
	72	89	113
	73	89	112
	73	91	112
	73	89	111
	73	89	110
	73	89	110
	73	91	112
	74	93	114
	75	96	116
	77	98	119
	78	101	121
	79	105	123
	81	104	124
	77	104	116
	76	102	117
	75	98	118
	74	98	119
	73	97	119
	71	96	118
	71	96	117
	71	94	115
	71	92	113
	72	90	111
	73	90	111
	73	90	112
	73	92	112
	74	90	111
	74	90	109
	74	90	108
	74	91	111
	75	93	114
	76	95	116
	77	97	118
	76	100	115
	76	98	116
	75	95	118
	74	96	120
	74	96	120
	73	95	118
	73	95	118
	74	93	115
	74	92	112
	74	92	110
	73	91	110
	73	91	112
	74	93	113
	74	92	111
	75	91	109
	75	92	109
	75	92	111
	76	93	114
	76	100	112
	75	98	113
	75	96	114
	75	98	115
	75	96	115
	75	95	116
	76	94	117
	76	94	115
	76	94	113
	75	96	111
	74	95	112
	74	95	113
	74	97	114
	75	94	113
	75	94	112
	75	97	110
	75	95	110
	75	96	110
	76	94	111
	76	93	113
	76	94	116
	76	94	115
	76	95	114
	75	97	113
	74	97	114
	74	97	115
	75	93	106
	75	94	105
	76	92	108
	76	92	112
	76	95	115
	75	95	115
	75	96	114
	75	95	107
	75	94	105
	75	94	106
	76	95	107
	77	94	109
	76	95	112
	76	94	106
	92	97	101
	99	103	106
	98	102	109
	97	107	113
	103	107	108
	102	108	113
	102	114	120
	103	120	129
	107	132	146
	99	107	109
	100	111	118
	100	118	129
	99	128	141
	102	124	140
	104	132	144
	104	129	149
	92	113	127
	96	105	105
	96	108	112
	97	112	121
	98	118	132
	101	123	142
	104	129	151
	108	134	150
	105	137	150
	101	137	148
	97	127	141
	94	119	135
	108	134	150
	92	106	111
	93	109	116
	96	112	123
	98	115	132
	101	121	141
	104	129	148
	95	114	122
	107	139	151
	102	142	151
	99	130	144
	97	124	139
	96	123	132
	95	117	133
	93	107	116
	96	109	120
	99	110	125
	103	111	133
	104	119	140
	105	129	147
	107	133	150
	104	134	152
	101	130	153
	98	119	148
	96	116	143
	95	118	138
	93	115	129
	109	124	146
	94	108	123
	98	110	126
	103	112	131
	109	116	139
	107	132	151
	105	132	151
	102	128	149
	100	123	148
	97	117	147
	96	114	146
	95	113	144
	95	117	139
	93	115	135
	91	111	130
	88	111	122
	98	118	140
	96	117	144
	95	115	148
	95	112	151
	96	116	144
	95	116	136
	93	112	129
	90	109	124
	89	109	119
	92	120	142
	93	121	152
	96	121	158
	99	123	147
	99	121	138
	96	117	129
	94	107	126
	93	105	123
	92	110	120
	92	104	118
	92	122	147
	97	131	157
	103	131	150
	103	130	143
	100	127	137
	97	117	135
	96	114	133
	95	117	131
	94	111	130
	93	107	129
	90	120	139
	98	136	153
	105	137	151
	105	138	150
	102	138	148
	99	129	146
	98	125	144
	97	124	143
	96	118	142
	95	114	141
	93	111	139
	95	126	149
	100	139	153
	99	139	158
	97	135	161
	95	132	158
	94	127	156
	94	123	155
	95	122	153
	94	120	152
	92	117	151
	89	113	135
	94	129	145
	93	132	152
	92	131	156
	91	127	154
	91	123	152
	93	119	151
	94	120	150
	93	122	150
	90	123	148
	87	114	133
	88	114	132
	88	120	139
	87	123	143
	87	119	142
	88	115	140
	90	113	140
	93	115	141
	91	121	141
	88	126	140
	85	112	127
	80	101	118
	81	106	126
	81	110	132
	82	109	130
	84	107	130
	86	106	130
	88	107	132
	87	110	134
	85	112	134
	83	104	121
	72	89	104
	74	94	112
	76	98	118
	78	99	119
	80	99	119
	81	99	120
	83	100	122
	82	102	124
	81	103	124
	80	98	115
	66	77	91
	69	84	98
	72	89	103
	75	90	107
	76	92	110
	78	93	113
	79	95	114
	79	97	115
	79	97	115
	79	93	108
	67	69	78
	69	75	83
	72	79	89
	75	82	95
	76	86	101
	78	89	105
	79	90	105
	80	92	106
	80	93	105
	80	90	101
	69	70	81
	72	73	86
	74	79	92
	76	84	98
	78	88	103
	80	89	104
	80	92	105
	80	93	106
	80	90	103
	70	68	86
	72	71	88
	74	80	94
	76	86	100
	78	90	105
	81	92	108
	81	95	110
	81	96	112
	81	93	111
	79	81	90
	82	84	90
	85	89	96
	86	92	102
	87	95	108
	89	95	111
	88	97	115
	87	97	118
	87	95	118
	89	97	105
	92	100	107
	96	102	112
	96	101	117
	96	102	121
	96	104	124
	95	103	126
	93	102	129
	95	108	129
	98	115	130
	102	119	133
	106	120	136
	105	114	140
	105	112	143
	104	117	143
	102	113	142
	99	111	143
	99	115	143
	102	116	148
	106	127	155
	110	138	159
	114	146	161
	114	140	164
	113	139	165
	113	142	161
	110	135	159
	107	126	157
	100	117	146
	105	120	151
	110	125	161
	114	143	171
	118	155	176
	122	162	178
	122	161	180
	122	160	179
	121	159	174
	118	155	170
	115	145	168
	122	165	175
	126	172	178
	130	170	182
	130	176	186
	130	176	188
	130	168	186
	125	169	185
	122	160	179
	118	137	166
	111	125	153
	103	119	147
	96	119	154
	103	127	168
	101	123	158
	107	125	148
	111	129	155
	116	135	171
	120	154	186
	124	163	194
	129	165	195
	127	171	197
	126	173	195
	125	172	190
	122	167	186
	120	158	182
	111	148	177
	109	140	174
	107	132	164
	110	133	154
	112	134	160
	115	138	175
	119	154	190
	123	161	196
	127	164	197
	125	167	198
	123	168	195
	121	168	190
	119	162	186
	117	154	182
	119	150	161
	116	162	181
	114	156	179
	113	146	171
	113	142	163
	113	142	168
	114	146	178
	118	160	187
	123	164	191
	126	163	191
	123	164	191
	119	162	188
	116	160	184
	116	156	178
	115	152	175
	119	150	168
	117	159	185
	116	158	184
	115	153	178
	116	145	173
	116	142	175
	117	142	180
	120	155	185
	123	160	186
	125	162	186
	121	160	185
	117	157	182
	114	153	176
	113	150	171
	113	147	169
	118	154	185
	118	157	186
	117	155	183
	118	146	180
	119	142	181
	120	144	182
	121	153	184
	123	157	183
	123	159	182
	119	155	181
	115	151	177
	111	146	171
	111	142	165
	111	141	164
	119	153	184
	120	152	185
	121	143	186
	123	146	185
	124	151	185
	123	154	184
	123	155	183
	121	155	180
	117	151	178
	113	145	173
	109	139	167
	109	133	161
	119	154	183
	121	158	187
	123	155	191
	126	159	190
	127	163	187
	125	159	185
	122	157	182
	119	153	178
	115	147	175
	111	140	169
	122	162	187
	126	166	193
	130	170	191
	131	169	189
	126	162	187
	120	157	183
	116	151	177
	134	175	188
	135	171	190
	127	162	191
	128	175	187
	126	175	186
	147	193	236
	138	181	224
	132	171	214
	125	161	203
	157	206	245
	155	208	252
	147	196	241
	138	183	229
	131	171	217
	123	160	205
	115	149	195
	146	195	232
	139	179	221
	130	168	210
	120	158	200
	112	147	190
	135	172	214
	126	161	203
	118	151	194
	110	140	186
	145	183	224
	143	174	216
	132	165	206
	124	155	196
	116	145	187
	109	136	179
	112	137	171
	141	167	208
	129	160	199
	121	150	189
	114	142	179
	107	135	169
	111	134	161
	120	148	182
	113	139	172
	105	131	161
	110	131	150
	126	159	191
	125	157	186
	118	146	177
	111	137	166
	104	128	155
	109	127	144
	113	131	138
	123	151	182
	117	143	173
	110	135	163
	103	127	153
	108	121	142
	112	122	138
	111	133	159
	105	126	150
	109	122	141
	112	124	139
	117	140	168
	117	138	166
	111	131	156
	107	124	147
	109	121	139
	112	123	137
	115	131	142
	117	137	165
	112	130	153
	108	123	144
	110	116	135
	112	117	134
	115	125	141
	114	129	150
	108	123	140
	110	118	131
	112	119	131
	114	123	139
	121	135	164
	116	130	149
	109	124	139
	110	121	130
	111	121	131
	112	123	139
	113	128	147
	118	132	152
	109	126	143
	110	122	135
	112	132	147
	110	122	135
	111	125	141
	124	135	155
	111	128	147
	111	124	139
	112	122	139
	112	123	143
	112	128	147
	114	124	142
	131	137	158
	113	130	151
	113	126	143
	113	123	143
	113	122	145
	114	125	147
	116	132	153
	115	129	146
	114	126	145
	114	125	146
	115	127	147
	115	126	142
	122	131	143
	119	133	155
	120	130	148
	120	129	147
	121	127	147
	121	132	147
	139	152	166
	142	152	165
	145	155	168
	140	151	164
	158	181	196
	151	172	189
	146	163	181
	143	157	173
	140	154	169
	151	161	171
	157	167	176
	140	150	164
	143	153	166
	146	159	174
	152	168	182
	158	179	189
	164	182	190
	168	186	191
	171	190	191
	174	188	193
	177	187	193
	179	187	193
	182	187	191
	180	187	188
	173	187	186
	165	173	164
	138	148	162
	140	148	161
	151	160	169
	157	166	174
	145	153	166
	142	150	163
	159	170	161
	167	180	183
	175	185	186
	176	186	190
	173	183	193
	170	180	190
	167	179	187
	164	179	183
	161	176	183
	157	172	183
	152	167	183
	146	159	176
	142	153	168
	139	148	160
	137	146	158
	136	145	159
	138	145	159
	141	145	161
	144	147	164
	150	155	168
	156	162	173
	154	162	158
	161	173	179
	169	180	182
	170	182	185
	166	180	187
	164	175	184
	161	172	180
	157	171	176
	154	167	175
	150	163	175
	145	158	175
	141	152	167
	137	147	160
	136	143	153
	134	142	152
	134	141	153
	137	141	153
	140	143	155
	143	146	159
	149	154	161
	155	161	168
	156	167	175
	164	173	177
	164	176	178
	161	177	179
	158	171	176
	155	166	172
	151	163	168
	147	160	167
	144	155	165
	140	150	164
	136	146	158
	134	142	152
	132	138	145
	131	137	145
	132	137	145
	135	137	146
	139	142	148
	143	148	151
	148	154	154
	154	159	161
	159	163	171
	152	163	171
	160	169	171
	160	171	172
	157	170	172
	154	164	168
	151	160	164
	148	157	161
	144	154	159
	141	150	156
	138	145	154
	135	141	149
	133	138	143
	132	136	138
	131	135	138
	131	135	138
	134	137	139
	137	143	141
	140	148	143
	146	151	145
	152	152	155
	157	156	166
	148	166	172
	156	168	171
	156	168	170
	154	165	168
	151	159	163
	147	155	159
	144	152	154
	141	149	152
	139	146	150
	137	142	148
	134	138	143
	133	136	139
	132	135	134
	131	133	135
	131	134	135
	133	137	136
	135	142	138
	138	145	141
	143	145	143
	149	148	152
	155	155	163
	143	172	175
	153	169	173
	153	166	171
	150	162	168
	147	156	161
	144	151	155
	141	146	148
	139	145	146
	137	142	145
	135	139	144
	133	136	140
	132	135	136
	131	134	132
	130	133	133
	130	133	134
	132	137	136
	133	139	138
	136	140	141
	141	140	144
	147	147	151
	153	157	160
	140	161	178
	148	167	176
	149	164	173
	147	158	168
	144	153	160
	142	147	151
	140	144	143
	138	143	141
	136	140	140
	134	137	139
	131	135	136
	130	133	133
	130	132	131
	130	129	132
	131	130	134
	132	135	136
	133	137	139
	136	140	142
	141	143	145
	146	150	151
	151	157	157
	144	164	174
	145	161	171
	144	155	166
	142	149	157
	141	144	148
	139	140	140
	138	140	139
	135	138	138
	132	136	137
	129	133	135
	128	131	132
	129	130	130
	131	128	132
	132	130	134
	133	136	136
	134	138	139
	136	141	143
	140	147	146
	144	151	151
	149	155	155
	141	158	169
	141	156	167
	140	152	163
	140	146	155
	139	141	147
	138	137	141
	137	136	139
	135	136	138
	127	132	134
	126	130	132
	129	128	129
	131	130	132
	133	134	135
	133	139	138
	134	141	141
	136	144	144
	139	151	148
	142	151	151
	146	152	154
	131	134	137
	137	153	164
	138	151	163
	137	148	160
	137	145	153
	137	141	146
	136	137	141
	135	135	139
	133	134	138
	130	133	137
	127	130	134
	127	129	131
	130	129	129
	133	131	133
	134	135	136
	134	139	139
	134	139	143
	136	141	146
	139	145	150
	141	145	152
	145	147	153
	151	153	154
	133	147	159
	134	146	159
	134	144	157
	135	143	151
	134	140	145
	134	137	141
	134	134	139
	132	133	138
	130	132	136
	127	129	134
	128	127	133
	131	128	131
	134	132	134
	135	136	137
	149	153	154
	144	146	152
	141	143	151
	138	142	149
	136	140	146
	135	139	143
	135	140	140
	129	141	153
	130	141	155
	131	141	154
	132	140	150
	132	139	145
	132	137	141
	132	134	139
	131	134	137
	129	133	136
	127	129	136
	129	127	135
	132	127	135
	136	132	137
	137	137	139
	136	142	141
	136	142	142
	137	141	143
	138	141	145
	140	143	148
	143	146	152
	147	153	155
	128	139	151
	129	138	152
	130	138	148
	130	138	144
	131	136	141
	131	134	139
	130	132	137
	129	129	136
	128	125	137
	130	126	139
	133	130	140
	136	134	140
	137	137	140
	136	142	141
	136	142	141
	136	139	141
	136	140	146
	139	143	151
	143	151	157
	136	141	141
	126	136	148
	127	137	146
	129	137	144
	129	136	141
	130	133	139
	125	135	146
	130	130	137
	130	127	136
	129	125	138
	131	130	141
	133	135	143
	136	136	142
	137	138	141
	136	139	141
	136	141	139
	135	140	138
	134	135	137
	133	136	143
	135	140	149
	139	148	155
	123	131	140
	124	133	144
	125	135	144
	127	137	143
	128	136	141
	136	145	149
	130	128	135
	130	126	134
	131	131	138
	132	137	142
	134	141	145
	136	139	143
	137	138	141
	136	138	139
	136	137	137
	134	134	135
	132	130	133
	130	132	138
	131	137	144
	130	132	138
	124	130	136
	125	132	141
	126	133	141
	127	135	142
	129	135	141
	131	130	138
	132	130	134
	133	132	133
	133	138	138
	134	141	143
	135	142	147
	136	139	144
	136	138	141
	136	139	138
	135	137	135
	134	134	131
	131	130	129
	129	127	134
	130	130	139
	134	139	144
	125	129	133
	126	131	139
	127	133	140
